"start";"end";"…/Demography/What is your gender?";"…/Demography/What is your age group?";"…/Demography/What is your occupation?";"…/Demography/What's your occupation?";"…/Demography/What is your highest level of education?";"…/Prevalence and Patterns of Phone Use/How often do you check your phone?";"…/Prevalence and Patterns of Phone Use/How many hours do you spend on your phone daily?";"…/Prevalence and Patterns of Phone Use/What do you usually do on your phone? (Select all that apply)";"…/Prevalence and Patterns of Phone Use/How often do you feel distracted by your phone while working, studying or in your Religious place (Church, Mosque, Shrine e.t.c)?";"…/Prevalence and Patterns of Phone Use/How often do you press your phone while walking on the road?";"…/Causes and Triggers of Phone Addiction/What are your main reasons for excessive phone use? (Rank them in order of priority)";"…/Causes and Triggers of Phone Addiction/What triggers you to check your phone? (Rank them in order of priority)";"…/Causes and Triggers of Phone Addiction/Have you ever experienced any of the following symptoms of phone addiction? (Select all that apply)";"…/Social Media Usage/Which social media platforms do you use? (Select all that apply)";"…/Social Media Usage/How many hours do you spend on social media per day?";"…/Social Media Usage/Why do you use social media? (Select all that apply)";"…/Quality of Life and Productivity/Do you feel that your phone use has negatively impacted your quality of life?";"…/Quality of Life and Productivity/Which of the following does your phone usage interfere with? (select all that applies)";"…/Quality of Life and Productivity/Does phone usage interfere with your face-to-face interactions?";"…/Quality of Life and Productivity/How would you categorize your productivity when your phone use is minimized?";"…/Physical and Mental Health Effects/Has phone addiction affected your physical health?";"…/Physical and Mental Health Effects/If yes, how? (Select all that apply)";"…/Physical and Mental Health Effects/How much has phone addiction impacted your mental health? (Scale: 1 = No effect, 5 = Severe effect)";"…/Long-term Impacts and Solutions/Do you feel that your phone use has negatively impacted your long-term goals and aspirations?";"…/Long-term Impacts and Solutions/How important is phone use and social media to your future success?";"…/Long-term Impacts and Solutions/What strategies do you think would help you achieve a healthier balance between phone use and other aspects of your life? (Select all that apply)";"_id";"_uuid";"_submission_time";"_validation_status";"_notes";"_status";"_submitted_by";"__version__";"_tags";"_index"
"2025-01-06T20:53:24.949+01:00";"2025-01-06T21:05:06.472+01:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"634798376";"fd374519-8f01-465a-8ae5-c428859f41da";"2025-01-06T20:05:09";"";"";"submitted_via_web";"";"vnjQYHpFhKgg4ep4xbew8o";"";"15"
"2025-01-06T21:06:25.259+01:00";"2025-01-06T21:17:34.565+01:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"634800210";"498c6fe4-0ab5-47d6-9343-dacd357b7133";"2025-01-06T20:17:39";"";"";"submitted_via_web";"";"vvMC2WaTWGknoJqQKF2M5j";"";"16"
"2025-01-06T23:32:32.602+01:00";"2025-01-06T23:38:35.740+01:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"634813819";"74a1ab44-8f53-4f94-abcf-5fc9390dd1a3";"2025-01-06T22:38:38";"";"";"submitted_via_web";"";"vvMC2WaTWGknoJqQKF2M5j";"";"17"
"2025-01-07T07:25:30.993+01:00";"2025-01-07T07:30:23.529+01:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"634848664";"2d5519aa-ad22-4ad3-b49d-2dc1b9ffb65d";"2025-01-07T06:30:25";"";"";"submitted_via_web";"";"vvMC2WaTWGknoJqQKF2M5j";"";"18"
"2025-01-07T09:01:03.323+01:00";"2025-01-07T09:22:56.834+01:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"634880330";"4ea35db1-d60d-435f-b38c-92c9eccb2898";"2025-01-07T08:22:58";"";"";"submitted_via_web";"";"vvMC2WaTWGknoJqQKF2M5j";"";"19"
"2025-01-07T09:24:14.175+01:00";"2025-01-07T09:38:22.229+01:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"634885374";"7600498f-782b-48c6-b145-6c1f0dc14daa";"2025-01-07T08:38:24";"";"";"submitted_via_web";"";"vvMC2WaTWGknoJqQKF2M5j";"";"20"
"2025-01-07T10:48:29.706+01:00";"2025-01-07T10:59:26.532+01:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"634913480";"bad9cddb-ae15-4a5c-a0e8-5b624b863bd5";"2025-01-07T09:59:27";"";"";"submitted_via_web";"";"vvMC2WaTWGknoJqQKF2M5j";"";"21"
"2025-01-07T11:01:30.351+01:00";"2025-01-07T11:04:16.876+01:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"634915410";"e7e793ff-6fbc-4f00-8ede-704430ba3f9e";"2025-01-07T10:04:18";"";"";"submitted_via_web";"";"vvMC2WaTWGknoJqQKF2M5j";"";"22"
"2025-01-07T11:03:49.505+01:00";"2025-01-07T11:32:53.110+01:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"634926732";"43ea99b4-47b0-4470-a8a3-66fd80427b2e";"2025-01-07T10:32:54";"";"";"submitted_via_web";"";"vvMC2WaTWGknoJqQKF2M5j";"";"23"
"2025-01-07T11:40:27.225+01:00";"2025-01-07T11:48:20.965+01:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"634932746";"9f698414-825d-4b32-b645-ddd502051fa0";"2025-01-07T10:48:21";"";"";"submitted_via_web";"";"vvMC2WaTWGknoJqQKF2M5j";"";"24"
